trainingDate,isCompetition,total,grouping,zone,average,advancement,blazon,distance,weapon,typeOfShoot,weather,wind,temperature,fftaValid,id,idTraining,rounds,salves,arrows
2026-05-02,0,669,0,9,9.29,100,122,70,3,1,0,0,,0,Mkse3miaNyr5cTzWT3De,ct2I9lQ7Z222Q1V3h43Q,2,2,18
2026-04-29,1,630,9.3,0,8.77,100,122,70,3,1,1,0,,0,Qn1pTCn2Mlek9IxgnB6u,qKWh2yTpADoqBJ7bO01Z,2,6,6
2026-04-28,0,458,9.69,[object Object],9.16,5,122,70,1,1,1,0,,0,qNrHOCjxljL1jEaoFPFm,8vpGraE8TdkUD0k8P5PB,1,99,10
2026-04-28,0,665,0,9,9.24,100,122,70,3,1,1,0,,0,JyEhzBJ7ydgbcO3l0Kr4,8vpGraE8TdkUD0k8P5PB,2,4,9
2026-04-24,0,1322,0,9,9.18,100,122,70,3,1,0,0,,0,DXE0FQbqcPaEQELq9Zy4,hZXFx8zYWtyIVSTk2560,4,3,12
2026-04-22,0,974,0,8+,9.02,100,122,70,3,1,0,0,,0,JR8b1EVKa2qpXlQyj02m,z1W77XaBVyfp0RPzlHYb,3,2,18
2026-04-18,1,645,9.46,0,8.96,100,122,70,1,1,0,0,,1,UbWfz0qepRM89FDm0kHQ,BvJBk3p7xRb0QZvshjg1,2,6,6
2026-04-12,1,629,9.27,0,8.74,100,122,70,1,1,1,1,,1,12PKkIh3k4dM1ffJcDjf,Hl5Kbk4jFFI4rr1N5t0e,2,6,6
2026-04-12,1,653,9.53,0,9.07,100,122,70,1,1,1,2,14,1,KxsyKGo3nOFUXOnKv2uA,lrYfYV9Gf2w9HDjaUmVm,2,6,6
2026-04-11,1,658,9.65,0,9.14,100,122,70,1,1,0,1,,1,Zt7e87zgVI0VRGZmzz4b,EheT7Iqx35RuaPo1Ghlq,2,6,6
2026-04-09,0,992,0,9,9.19,100,122,70,1,1,0,0,,0,gpEynpNhbnWcDYLlll0B,B5D2c2CDxTAHVYUqh2QM,3,6,6
2026-04-06,0,656,0,9,9.11,100,122,70,1,1,0,0,,0,wkyI5SwqlXfYYaZk1xGf,SZolYoUCJin85FOXXesB,2,4,9
2026-04-04,0,645,0,8+,8.96,100,122,70,1,1,0,0,,0,OXNwvHIrzQcbhzGDooPa,3hxxCIOYmD9bcM6WEPGU,2,4,9
2026-03-19,0,647,0,9,8.99,100,122,70,1,1,0,1,,0,DV0ue6a4tRCiTuh3zdMF,eQPJQCmoOCAksgpGXQbs,2,4,9
2026-03-08,1,290,0,9+,9.67,100,40,18,1,0,0,0,,0,HvIK0yFQsrZ3mnuKJDRe,NsNoEQKJYd837HozbGjx,1,10,3
2026-03-01,1,573,10.09,0,9.58,100,40,18,1,0,0,0,,0,AlUcEgthddra6L7fs4OH,VzSHHWsa3Y5msPrhJAqP,2,10,3
2026-02-26,0,291,0,9+,9.7,100,40,18,1,0,0,0,,0,6UGr4SKzybRX2sP5XSyI,LGtXqoqU97VAzOVlBq3d,1,10,3
2026-02-20,0,575,9.98,0,9.58,100,40,18,1,0,0,0,,0,B2DYafc5DJRZpkz8oFYW,QnH0rFllSHhT4ZMQHDWS,2,10,3
2026-02-15,1,578,10.07,0,9.63,100,40,18,1,0,0,0,,0,5ROOJxj3jLEfxWe0SgRN,E1IWHaon8XSE5WF9wheT,2,10,3
2026-02-12,0,1129,0,9+,9.41,100,40,18,1,0,0,0,,0,rGc71L0wuzZcJGq0QiSu,wSNWiGHCCbcDSSdZTx0k,4,10,3
2026-02-08,0,576,0,9+,9.6,100,40,18,1,0,0,0,,0,QCRQnOlf0x4BgFhd1XER,iElV5HPcFxvQPuwcgM4K,2,10,3
2026-02-05,0,294,0,10,9.8,100,40,18,1,0,0,0,,0,w8SDrjnTIAxWLoSNYr4a,pQw5NHcYKZ4httMKt2IV,1,10,3
2026-01-29,0,566,0,9+,9.43,100,40,18,1,0,0,0,,0,0P3duUXatYBBKJ0nigmB,zcxWKaj5glODAfWgJsl8,2,10,3
2026-01-16,0,568,0,9,9.47,100,40,18,1,0,0,0,,0,OtGldZtX57pel5dOpHHS,sBkRZPmg4mpkOlCP4Wry,2,10,3
2026-01-14,0,572,0,9+,9.53,100,40,18,1,0,0,0,,0,aFrOuaTB8pnaHHdEZhUF,qZwDk9Kq08An1WGkCvlN,2,10,3
2025-12-19,0,872,0,9+,9.69,100,40,18,1,0,0,0,,0,eEQsHOPTlsMORNypU1GR,XRCkN30TKRBBmKS5DOzo,3,10,3
2025-12-18,0,283,0,9+,9.43,100,40,18,1,0,0,0,,0,r3Pmxhk2oEwYl5TojaB9,od2tLzGlKUFUnICR6vuO,1,10,3
2025-12-16,0,576,0,9+,9.6,100,40,18,1,0,0,0,,0,RwuIXQSqsCdQavF3jGkP,eT1Fb7CqASBUhZAk3yzV,2,10,3
2025-12-15,0,567,0,9+,9.45,100,40,18,1,0,0,0,,0,xrhBdXOcDhQsjiEcY1WG,xs5V5B3TNK5tv5e9iSJB,2,10,3
2025-12-10,0,586,0,10,9.77,100,40,18,1,0,0,0,,0,rf4lNWsqys6JchXg2NQn,wQZv4sxf5E3cUfBV9L30,2,10,3
2025-12-07,0,578,0,9+,9.63,100,40,18,1,0,0,0,,0,wo6ARbRMnXZwRIUVuwDE,ClixhAmxHMoDrG4S1zxQ,2,10,3
2025-12-04,0,582,0,9+,9.7,100,40,18,1,0,0,0,,0,ElqZz2Sqr2SYmINxJqEg,V9EduPOucf4nBqvaItWs,2,10,3
2025-11-19,0,574,0,9+,9.57,100,40,18,1,0,0,0,,0,pNnQjuD7Wr0OaA6w4syA,pRSDkbZyr4igWS9apEIC,2,10,3
2025-11-17,0,574,0,9+,9.57,100,40,18,1,0,0,0,,0,aoGT5SCW45OLqd75ATtX,4drRBd0YGOHrYFVrTUaJ,2,10,3
2025-11-16,0,858,0,9+,9.53,100,40,18,1,0,0,0,,0,fbJilTG9EpbyrsPCB2TK,NoEo8G8E4IHEO5Y2Ro4g,3,10,3
2025-10-02,0,1313,9.61,0,9.13,100,122,70,1,1,0,0,,0,tnN8is8H5AIGTNKEuxjv,1aLiW3pMRAnKbwTa0WyD,4,4,9
2025-09-25,0,991,9.65,0,9.2,100,122,70,1,1,1,0,,0,HYOPzaVdmjPj05jB3Fk2,5zRCSMlVJvhlQcpCCTYP,3,4,9
2025-09-24,0,649,9.5,0,9.04,100,122,70,1,1,1,0,,0,2O6lx4v2tn7xMIqepYPf,G4OdH18AQYtpm30BIlME,2,4,9
2025-09-21,0,638,9.5,0,8.93,100,122,70,1,1,0,0,,0,tQapcJbcs3Xwm4F5FnxP,MKmCjk62tueSWck4HqKm,2,6,6
2025-09-18,0,642,9.52,0,8.96,67,122,70,1,1,0,0,,0,rRVXwgeASJAp4NvZTGPJ,PWZWEOAAQkSkTbudkzsN,3,6,6
2025-06-18,1,652,9.48,0,9.07,100,122,70,1,1,0,1,,0,XlWnPeOm0MZ5LdBLCRqO,dPht1wGiYBjqFkZjRnkD,2,6,6
2025-06-15,0,974,0,8+,9.02,100,122,70,1,1,0,4,,0,XTCIfESLOwOb3Oz2KawM,1yFMjOMQa6o1GOVmbIPX,3,3,12
2025-06-14,0,648,0,8+,9,100,122,70,1,1,0,0,,0,TAOkeWE6rrIHFK0Ltmjo,YYFKNwWQgZ9VTEp0A2Xj,2,3,12
2025-06-11,1,647,9.49,0,9.01,100,122,70,1,1,0,1,,0,KNE5lxN5djJ56Epr88Sm,4hyMY070O6q5vbghe61l,2,6,6
2025-06-02,0,644,0,8+,8.94,100,122,70,1,1,0,0,,0,lMvcoPgpi1QscHzeYJIp,eSFyaHDqs0ydFrFbaxXL,2,3,12
2025-05-28,1,636,0,8,8.83,100,122,70,1,1,2,0,,0,J8jp0YK4AwBB1cOI5Dlv,Bj1mTW2azS5Abj2q6IPh,2,6,6
2025-05-25,1,618,9.11,0,8.59,100,122,70,1,1,1,0,,0,2Ey0z40fJoJ698WPMIIE,S5cd2zC4dSVnEKVGn1WH,2,6,6
2025-05-24,0,652,9.57,0,9.07,100,122,70,1,0,0,0,,0,bYDyMoYdDfZyJCPG1Kub,3pYet8Adr1kB9AOp3MZe,2,6,6
2025-05-24,0,648,9.49,0,9.03,100,122,70,1,0,0,0,,0,XlZu5HWUwde4IpVVLGFP,tBikcyrmnYUudvUw0jVo,2,4,9
2025-05-17,1,613,0,7+,8.51,100,122,70,1,1,0,1,,1,aNB6XMCAU3nBGiUbtZtW,gF7FamuZl6rsJ4vIF3Ni,2,6,6
2025-05-15,0,630,9.21,0,8.76,100,122,70,1,1,0,1,,0,jh7RkLdQEdXXLcJC7itv,8sD4dSdgKyJu26L9MTw0,2,6,6
2025-05-07,0,638,0,8+,8.86,100,122,70,1,1,0,0,,0,G2KGfI7QdNJa852Rzcvj,CBv40Byif9BB9w44CEi0,2,6,6
2025-05-06,0,654,0,8+,9.08,100,80,50,1,1,0,1,,0,waCWFvKGL0CQo8eaPzmc,RDC3YUP31cbewE3Hk1u6,2,6,6
2025-05-04,0,640,0,8+,8.89,100,122,70,1,1,1,1,,0,8fSClnTuEWwllxonrswO,VrDrT7IIJU0kYlfyNrlR,2,6,6
2025-04-27,0,621,9.4,0,8.66,100,122,70,1,1,4,4,16,0,a5GTNEgvUR2AXfEz8txy,Gmf5EJeYYcnziVtqaF8s,2,6,6
2025-04-25,0,310,0,8,8.61,100,122,70,1,1,0,2,,0,nIyJtAZhhBq0bOkmNz6G,2HFVJTIAJXeYY9xSuoRO,1,6,6
2025-04-24,0,635,0,8,8.82,100,122,70,1,1,0,2,,0,YsDf8wGhU5XmG0XbQxIw,xOcOFrdemlCQsQ3ZbS4U,2,6,6
2025-04-21,0,980,9.32,0,8.83,37,122,70,1,1,4,4,,0,n4wjtjguWZodqAWSDehe,91nTGM4dktcgHz15tyB4,1,99,3
2025-03-27,0,637,0,8+,8.85,100,122,70,1,1,4,4,,0,rEWuQ8hSHY48NlK9TMXI,X2ALkkXOagQGie9sE3uY,2,3,12
2025-03-27,0,323,9.41,0,9,100,122,70,1,1,4,4,,0,DxeUJJY3TcicO3rOlaZ8,X2ALkkXOagQGie9sE3uY,1,6,6
2025-03-23,0,641,9.39,0,8.92,100,122,70,1,1,0,0,,0,fMbxaeg3bKt2IlAg8LkQ,vGwMFmWUMQofaGccqEpM,2,6,6
2025-03-22,0,321,0,8+,8.92,100,122,70,1,0,0,0,,0,l3wQSQkThIE5yzan744i,xrgYgV5NSf9lWesHFXon,1,6,6
2025-03-22,0,326,0,9,9.06,100,122,70,1,0,0,0,,0,DZs6bim5E8MWFyr75SCy,xrgYgV5NSf9lWesHFXon,1,6,6
