trainingDate,distance,isCompetition,isIndoor,totalStraw,totalBlazon,totalElastic,totalVisual,totalCounted,totalArrows,weather,wind,temperature,feeling,timeSpentMinutes,timeSpentMinutesStrength,timeSpentMinutesHolding,competitionPleasure,competitionGoalReached,intensity,id
2002-10-05,18,1,1,0,0,0,0,60,60,4,4,,6,,,,,,,wAXtBlCAsWyKVaHk6RgK
2002-10-19,18,1,1,0,0,0,0,60,60,4,4,,6,,,,,,,EKvXpVFnECImjgYMZL0L
2002-10-27,18,1,1,0,0,0,0,60,60,4,4,,6,,,,,,,E3EAgXgd6cRs1FM5RlEf
2002-11-02,18,1,1,0,0,0,0,60,60,4,4,,6,,,,,,,fFV86CwUaLd2Ely9R8EB
2002-11-09,18,1,1,0,0,0,0,60,60,4,4,,6,,,,,,,ZugJdXRi4fckDcfsFSS2
2002-11-16,18,1,1,0,0,0,0,60,60,4,4,,6,,,,,,,MDG51NJqfQAP67f5ZbLB
2002-11-23,18,1,1,0,0,0,0,60,60,4,4,,6,,,,,,,M8WjPJ6e8WHKvqS13mpL
2002-12-07,18,1,1,0,0,0,0,60,60,4,4,,6,,,,,,,xp8rJ1y033kjEtcasFGH
2002-12-14,18,1,1,0,0,0,0,60,60,4,4,,6,,,,,,,QUyb8GHirwTo2JChYtkP
2003-01-11,18,1,1,0,0,0,0,60,60,4,4,,6,,,,,,,sdEWgMU3O5eMcJ2V55Pb
2003-01-25,18,1,1,0,0,0,0,60,60,4,4,,6,,,,,,,vAcYT6NxuIlZg3HsKQuC
2003-02-01,18,1,1,0,0,0,0,60,60,4,4,,6,,,,,,,uiIDU8k0NlPMzEM514aH
2003-02-21,18,1,1,0,0,0,0,60,60,4,4,,6,,,,,,,7PfyAHfi2foN7GRhIDB3
2003-05-18,60,1,0,0,0,0,0,72,72,4,4,,6,,,,,,,VvlYWq8EFW2bd8XWdLtx
2003-06-01,60,1,0,0,0,0,0,72,72,4,4,,6,,,,,,,hDpFenmt0OpiigTuJL2n
2003-06-08,60,1,0,0,0,0,0,72,72,4,4,,6,,,,,,,SvTnPNewHNKtgJcRQzKg
2003-07-06,60,1,0,0,0,0,0,72,72,4,4,,6,,,,,,,AdPvpGpI48pK4ryOUUir
2003-07-11,60,1,0,0,0,0,0,72,72,4,4,,6,,,,,,,0IZO12aVTAbNUIbBMpsO
2003-07-19,60,1,0,0,0,0,0,72,72,4,4,,6,,,,,,,whGLgkL0MbH9KgwO6wZ7
2003-10-11,18,1,1,0,0,0,0,60,60,4,4,,6,,,,,,,7PweUh83zRT8qyqhyI2J
2003-10-18,18,1,1,0,0,0,0,60,60,4,4,,6,,,,,,,f1EuBLp8pUqXvhtDcG01
2003-11-01,18,1,1,0,0,0,0,60,60,4,4,,6,,,,,,,09vJx6mp1XMBeRaRPu13
2003-11-08,18,1,1,0,0,0,0,60,60,4,4,,6,,,,,,,V7oTC3awBvxDGFwAtUVa
2003-11-15,18,1,1,0,0,0,0,60,60,4,4,,6,,,,,,,m2Bp9LpZW3S9TjvUYc35
2003-11-22,18,1,1,0,0,0,0,60,60,4,4,,6,,,,,,,O5TlUq8A6sinKW0zv7dU
2003-12-06,18,1,1,0,0,0,0,60,60,4,4,,6,,,,,,,byV2BCoUHdYieAjIUnZu
2003-12-13,18,1,1,0,0,0,0,60,60,4,4,,6,,,,,,,XRgyD0buTeP1tamUrChg
2003-12-20,18,1,1,0,0,0,0,60,60,4,4,,6,,,,,,,mNFsZ6BmdmahUf5ksz6P
2004-01-03,18,1,1,0,0,0,0,60,60,4,4,,6,,,,,,,WOJHJCrKidOHOsZcmpLO
2004-01-10,18,1,1,0,0,0,0,60,60,4,4,,6,,,,,,,OKJQuIEfzqhrLaqCErCG
2004-01-16,18,1,1,0,0,0,0,60,60,4,4,,6,,,,,,,8y2IwllJNl7ZzWtTzxM4
2004-01-24,18,1,1,0,0,0,0,60,60,4,4,,6,,,,,,,xRrScc3iaYlHxpRijU1X
2004-02-07,18,1,1,0,0,0,0,60,60,4,4,,6,,,,,,,jxGUemrZxkRzF2YyiNZ3
2004-02-20,18,1,1,0,0,0,0,60,60,4,4,,6,,,,,,,2sODK8dlCRvdr1dXSWJJ
2004-04-25,60,1,0,0,0,0,0,72,72,4,4,,6,,,,,,,6H92zGb0fBROdeLD3K8O
2004-05-01,60,1,0,0,0,0,0,72,72,4,4,,6,,,,,,,t1VvALb6y4Ogbbn1jbRX
2004-05-08,60,1,0,0,0,0,0,72,72,4,4,,6,,,,,,,Zi6v4KqccF4jqEOrHG59
2004-05-15,60,1,0,0,0,0,0,72,72,4,4,,6,,,,,,,GqoTCgFMaX5upMTcrevW
2004-05-16,50,1,0,0,0,0,0,72,72,4,4,,6,,,,,,,GgGm3AF05PG0YLnmN0dH
2004-05-22,50,1,0,0,0,0,0,144,144,4,4,,6,,,,,,,ATPKynOv22hiKfT91UEW
2004-05-29,50,1,0,0,0,0,0,72,72,4,4,,6,,,,,,,1YU30BUJblJneeKFWGCE
2004-05-31,60,1,0,0,0,0,0,72,72,4,4,,6,,,,,,,uDL0egVHID4GYybe6FYu
2004-06-06,60,1,0,0,0,0,0,144,144,4,4,,6,,,,,,,QT6XM8eoOQMEzN4iZS7K
2004-06-27,60,1,0,0,0,0,0,72,72,4,4,,6,,,,,,,1Nv5i0c9C7K6tsF1893P
2004-07-03,50,1,0,0,0,0,0,72,72,4,4,,6,,,,,,,GpkSyq5bvgE9pUEdZPCY
2004-07-15,60,1,0,0,0,0,0,72,72,4,4,,6,,,,,,,Pl6AgVRpUHggMS00kqog
2004-07-24,70,1,0,0,0,0,0,72,72,4,4,,6,,,,,,,S27INmcoM6lvhLSknfBU
2004-08-27,50,1,0,0,0,0,0,72,72,4,4,,6,,,,,,,HE5dr5y0wbWVGNPMeTvf
2004-11-13,18,1,1,0,0,0,0,60,60,4,4,,6,,,,,,,4otIYcp3kCgYUlf7T63m
2004-12-11,18,1,1,0,0,0,0,120,120,4,4,,6,,,,,,,EIUkhioafrzabaMLV9zK
2004-12-18,18,1,1,0,0,0,0,60,60,4,4,,6,,,,,,,1bCylmZJuUCZyO5ZY3N8
2005-01-08,18,1,1,0,0,0,0,60,60,4,4,,6,,,,,,,ssVi38NBcAb6d66slYtF
2005-01-15,18,1,1,0,0,0,0,60,60,4,4,,6,,,,,,,jL0heWt5Azyt8qXuDS8G
2005-02-11,18,1,1,0,0,0,0,60,60,4,4,,6,,,,,,,JCl3wWxVSzn50V7l2wGu
